emp_no,dept_no,dept_name,title,to_date,birth_date
10623,d008,Research,Engineer,9999-01-01,1953-07-11
10624,d004,Production,Technique Leader,9999-01-01,1955-12-19
10628,d005,Development,Assistant Engineer,9999-01-01,1954-04-18
10630,d004,Production,Engineer,9999-01-01,1954-08-10
10631,d005,Development,Engineer,9999-01-01,1955-05-17
10634,d008,Research,Assistant Engineer,9999-01-01,1954-08-01
10636,d003,Human Resources,Staff,9999-01-01,1955-08-25
10639,d005,Development,Engineer,9999-01-01,1953-04-18
10641,d005,Development,Assistant Engineer,9999-01-01,1953-12-24
10642,d005,Development,Engineer,9999-01-01,1955-12-19
10653,d005,Development,Senior Engineer,9999-01-01,1953-06-16
10667,d009,Customer Service,Senior Staff,9999-01-01,1955-08-05
10671,d003,Human Resources,Senior Staff,9999-01-01,1953-06-12
10676,d005,Development,Engineer,9999-01-01,1953-08-26
10683,d004,Production,Senior Engineer,9999-01-01,1952-06-18
10693,d009,Customer Service,Senior Staff,9999-01-01,1953-12-14
10696,d005,Development,Technique Leader,9999-01-01,1952-03-23
10702,d005,Development,Senior Engineer,9999-01-01,1952-11-25
10712,d005,Development,Engineer,9999-01-01,1952-04-12
10718,d005,Development,Engineer,9999-01-01,1955-12-19
10726,d005,Development,Engineer,9999-01-01,1954-01-11
10734,d004,Production,Engineer,9999-01-01,1954-07-06
10741,d001,Marketing,Senior Staff,9999-01-01,1954-01-02
10742,d005,Development,Technique Leader,9999-01-01,1955-03-13
10745,d004,Production,Engineer,9999-01-01,1953-10-23
10749,d004,Production,Engineer,9999-01-01,1955-08-21
10750,d005,Development,Technique Leader,9999-01-01,1953-06-14
10764,d005,Development,Engineer,9999-01-01,1953-01-12
10767,d007,Sales,Staff,9999-01-01,1954-02-28
10768,d004,Production,Engineer,9999-01-01,1955-06-24
10778,d001,Marketing,Senior Staff,9999-01-01,1953-03-13
10791,d005,Development,Engineer,9999-01-01,1954-05-27
10795,d007,Sales,Senior Staff,9999-01-01,1954-12-14
10808,d005,Development,Senior Engineer,9999-01-01,1955-09-11
10811,d004,Production,Engineer,9999-01-01,1954-06-29
10813,d007,Sales,Senior Staff,9999-01-01,1954-07-04
10814,d007,Sales,Senior Staff,9999-01-01,1952-09-17
10826,d005,Development,Senior Engineer,9999-01-01,1952-12-06
10827,d002,Finance,Staff,9999-01-01,1953-09-25
10830,d001,Marketing,Senior Staff,9999-01-01,1954-08-17
10831,d005,Development,Technique Leader,9999-01-01,1953-10-11
10833,d006,Quality Management,Technique Leader,9999-01-01,1953-04-12
10834,d004,Production,Assistant Engineer,9999-01-01,1954-12-16
10835,d004,Production,Engineer,9999-01-01,1952-11-23
10836,d009,Customer Service,Senior Staff,9999-01-01,1953-07-15
10844,d005,Development,Engineer,9999-01-01,1954-02-03
10846,d008,Research,Senior Engineer,9999-01-01,1952-06-27
10847,d008,Research,Senior Staff,9999-01-01,1952-03-04
10848,d004,Production,Engineer,9999-01-01,1954-07-16
10849,d005,Development,Assistant Engineer,9999-01-01,1953-03-05
10854,d005,Development,Engineer,9999-01-01,1954-08-11
10858,d005,Development,Engineer,9999-01-01,1952-10-01
10871,d009,Customer Service,Staff,9999-01-01,1952-10-24
10872,d002,Finance,Senior Staff,9999-01-01,1952-02-21
10873,d002,Finance,Staff,9999-01-01,1952-07-09
10878,d007,Sales,Staff,9999-01-01,1952-06-13
10879,d005,Development,Senior Engineer,9999-01-01,1953-08-18
10882,d005,Development,Engineer,9999-01-01,1953-11-01
10883,d004,Production,Engineer,9999-01-01,1952-07-30
10885,d001,Marketing,Senior Staff,9999-01-01,1953-05-06
10887,d005,Development,Senior Engineer,9999-01-01,1953-01-16
10900,d005,Development,Senior Engineer,9999-01-01,1955-07-18
10906,d007,Sales,Staff,9999-01-01,1952-02-06
10909,d005,Development,Engineer,9999-01-01,1954-11-11
10913,d002,Finance,Staff,9999-01-01,1952-09-03
10920,d003,Human Resources,Senior Staff,9999-01-01,1955-04-08
10921,d004,Production,Engineer,9999-01-01,1955-07-20
10924,d007,Sales,Senior Staff,9999-01-01,1954-04-27
10926,d009,Customer Service,Engineer,9999-01-01,1954-10-13
10927,d001,Marketing,Senior Staff,9999-01-01,1953-03-13
10930,d004,Production,Engineer,9999-01-01,1954-01-13
10932,d005,Development,Engineer,9999-01-01,1955-11-19
10936,d003,Human Resources,Senior Staff,9999-01-01,1953-04-08
10942,d005,Development,Engineer,9999-01-01,1952-08-08
10943,d005,Development,Engineer,9999-01-01,1955-11-19
10944,d004,Production,Senior Engineer,9999-01-01,1952-05-25
10947,d009,Customer Service,Senior Staff,9999-01-01,1954-09-29
10949,d002,Finance,Senior Staff,9999-01-01,1953-08-14
10956,d004,Production,Engineer,9999-01-01,1955-02-02
10965,d007,Sales,Senior Staff,9999-01-01,1955-07-10
10969,d005,Development,Senior Engineer,9999-01-01,1954-09-05
10974,d005,Development,Senior Engineer,9999-01-01,1952-03-07
10986,d005,Development,Technique Leader,9999-01-01,1954-08-11
10987,d005,Development,Engineer,9999-01-01,1952-11-26
10988,d005,Development,Senior Engineer,9999-01-01,1955-06-24
10989,d002,Finance,Senior Staff,9999-01-01,1954-09-08
10990,d005,Development,Technique Leader,9999-01-01,1954-10-22
10996,d007,Sales,Senior Staff,9999-01-01,1955-02-01
11004,d006,Quality Management,Engineer,9999-01-01,1954-08-05
11009,d007,Sales,Senior Staff,9999-01-01,1954-08-30
11012,d009,Customer Service,Staff,9999-01-01,1953-09-12
11019,d005,Development,Engineer,9999-01-01,1954-09-06
11021,d008,Research,Staff,9999-01-01,1954-07-13
11027,d004,Production,Assistant Engineer,9999-01-01,1955-12-13
11031,d001,Marketing,Senior Staff,9999-01-01,1954-12-20
11032,d005,Development,Staff,9999-01-01,1953-04-19
11037,d004,Production,Engineer,9999-01-01,1952-05-22
11038,d008,Research,Senior Staff,9999-01-01,1955-10-13
11042,d005,Development,Engineer,9999-01-01,1955-07-13
11048,d007,Sales,Senior Staff,9999-01-01,1952-10-26
11050,d001,Marketing,Senior Staff,9999-01-01,1952-09-23
11051,d004,Production,Engineer,9999-01-01,1952-10-06
11056,d007,Sales,Staff,9999-01-01,1955-10-24
11061,d007,Sales,Senior Staff,9999-01-01,1954-11-11
11064,d004,Production,Assistant Engineer,9999-01-01,1952-08-10
11066,d002,Finance,Senior Staff,9999-01-01,1954-11-06
11070,d006,Quality Management,Engineer,9999-01-01,1952-06-30
11071,d005,Development,Engineer,9999-01-01,1954-07-18
11075,d004,Production,Senior Engineer,9999-01-01,1954-10-28
11079,d005,Development,Engineer,9999-01-01,1952-09-18
11081,d002,Finance,Senior Staff,9999-01-01,1952-06-20
11083,d003,Human Resources,Senior Staff,9999-01-01,1954-07-09
11084,d004,Production,Engineer,9999-01-01,1955-07-03
11085,d004,Production,Senior Engineer,9999-01-01,1953-09-08
11087,d004,Production,Senior Engineer,9999-01-01,1954-05-17
11089,d007,Sales,Senior Staff,9999-01-01,1955-02-18
11091,d004,Production,Engineer,9999-01-01,1952-10-10
11092,d001,Marketing,Staff,9999-01-01,1954-09-28
11098,d005,Development,Engineer,9999-01-01,1953-09-11
11100,d008,Research,Senior Staff,9999-01-01,1955-10-14
11106,d005,Development,Assistant Engineer,9999-01-01,1955-02-23
11111,d004,Production,Assistant Engineer,9999-01-01,1954-07-14
11112,d009,Customer Service,Staff,9999-01-01,1954-08-05
11113,d001,Marketing,Senior Staff,9999-01-01,1953-04-28
11121,d005,Development,Engineer,9999-01-01,1953-02-13
11130,d003,Human Resources,Senior Staff,9999-01-01,1953-01-17
11132,d004,Production,Engineer,9999-01-01,1952-08-01
11133,d006,Quality Management,Technique Leader,9999-01-01,1955-12-13
11134,d006,Quality Management,Engineer,9999-01-01,1954-05-15
11137,d005,Development,Engineer,9999-01-01,1955-03-17
11139,d009,Customer Service,Senior Staff,9999-01-01,1955-10-13
11143,d005,Development,Engineer,9999-01-01,1955-03-06
11144,d007,Sales,Senior Staff,9999-01-01,1954-12-07
11146,d007,Sales,Senior Staff,9999-01-01,1954-06-25
11147,d005,Development,Engineer,9999-01-01,1955-09-26
11148,d003,Human Resources,Senior Staff,9999-01-01,1953-01-23
11158,d004,Production,Engineer,9999-01-01,1952-02-23
11162,d005,Development,Engineer,9999-01-01,1953-03-25
11168,d007,Sales,Senior Staff,9999-01-01,1953-05-03
11170,d005,Development,Senior Engineer,9999-01-01,1952-05-05
11174,d004,Production,Engineer,9999-01-01,1952-09-14
11177,d005,Development,Senior Engineer,9999-01-01,1954-04-09
11180,d005,Development,Engineer,9999-01-01,1952-11-07
11181,d005,Development,Engineer,9999-01-01,1952-05-28
11185,d009,Customer Service,Senior Staff,9999-01-01,1954-04-10
11186,d004,Production,Engineer,9999-01-01,1953-07-15
11189,d007,Sales,Senior Staff,9999-01-01,1953-03-07
11192,d006,Quality Management,Engineer,9999-01-01,1952-09-06
11197,d007,Sales,Senior Staff,9999-01-01,1955-05-11
11201,d008,Research,Staff,9999-01-01,1952-05-20
11204,d004,Production,Technique Leader,9999-01-01,1955-12-15
11207,d005,Development,Engineer,9999-01-01,1955-08-14
11208,d004,Production,Technique Leader,9999-01-01,1952-05-29
11211,d004,Production,Senior Engineer,9999-01-01,1952-12-11
11213,d004,Production,Technique Leader,9999-01-01,1955-10-19
11217,d004,Production,Senior Engineer,9999-01-01,1954-07-01
11229,d006,Quality Management,Engineer,9999-01-01,1953-10-20
11232,d009,Customer Service,Senior Staff,9999-01-01,1955-09-03
11233,d005,Development,Engineer,9999-01-01,1952-05-08
11240,d005,Development,Assistant Engineer,9999-01-01,1955-08-12
11243,d004,Production,Assistant Engineer,9999-01-01,1955-06-14
11249,d005,Development,Assistant Engineer,9999-01-01,1954-10-01
11251,d001,Marketing,Senior Staff,9999-01-01,1955-10-16
11253,d005,Development,Engineer,9999-01-01,1952-09-11
11254,d007,Sales,Staff,9999-01-01,1954-12-14
11258,d009,Customer Service,Senior Staff,9999-01-01,1953-10-12
11266,d006,Quality Management,Engineer,9999-01-01,1955-08-09
11267,d008,Research,Senior Engineer,9999-01-01,1955-10-18
11268,d004,Production,Engineer,9999-01-01,1954-05-14
11274,d009,Customer Service,Staff,9999-01-01,1954-09-08
11275,d005,Development,Engineer,9999-01-01,1955-10-18
11289,d005,Development,Engineer,9999-01-01,1953-03-20
11290,d005,Development,Engineer,9999-01-01,1953-05-07
11292,d005,Development,Engineer,9999-01-01,1953-05-18
11294,d005,Development,Assistant Engineer,9999-01-01,1954-06-11
11295,d002,Finance,Senior Staff,9999-01-01,1953-02-03
11296,d004,Production,Engineer,9999-01-01,1954-12-24
11301,d003,Human Resources,Senior Staff,9999-01-01,1953-08-19
11317,d005,Development,Senior Staff,9999-01-01,1954-07-24
11319,d005,Development,Assistant Engineer,9999-01-01,1955-06-05
11320,d001,Marketing,Senior Staff,9999-01-01,1954-04-13
11322,d006,Quality Management,Assistant Engineer,9999-01-01,1952-07-19
11324,d004,Production,Senior Engineer,9999-01-01,1953-11-16
11325,d005,Development,Engineer,9999-01-01,1952-02-06
11326,d005,Development,Engineer,9999-01-01,1952-09-15
11338,d007,Sales,Senior Staff,9999-01-01,1954-11-03
11339,d004,Production,Senior Engineer,9999-01-01,1954-06-05
11340,d004,Production,Engineer,9999-01-01,1952-12-04
11343,d005,Development,Engineer,9999-01-01,1954-09-10
11347,d005,Development,Engineer,9999-01-01,1954-12-27
11349,d004,Production,Assistant Engineer,9999-01-01,1953-09-05
11360,d007,Sales,Senior Staff,9999-01-01,1953-05-24
11365,d004,Production,Engineer,9999-01-01,1953-11-17
11373,d009,Customer Service,Senior Staff,9999-01-01,1953-07-29
11376,d008,Research,Senior Staff,9999-01-01,1952-03-10
11380,d005,Development,Assistant Engineer,9999-01-01,1952-04-23
11385,d004,Production,Engineer,9999-01-01,1952-03-04
11386,d006,Quality Management,Engineer,9999-01-01,1954-09-27
11393,d004,Production,Engineer,9999-01-01,1954-05-17
11396,d005,Development,Engineer,9999-01-01,1955-02-06
11398,d002,Finance,Senior Staff,9999-01-01,1953-05-30
11401,d007,Sales,Staff,9999-01-01,1952-12-20
11404,d005,Development,Technique Leader,9999-01-01,1954-09-15
11406,d008,Research,Senior Staff,9999-01-01,1955-04-11
11410,d005,Development,Engineer,9999-01-01,1953-11-27
11415,d004,Production,Engineer,9999-01-01,1953-10-29
11417,d006,Quality Management,Technique Leader,9999-01-01,1954-11-20
11418,d001,Marketing,Senior Staff,9999-01-01,1954-03-21
11420,d003,Human Resources,Senior Staff,9999-01-01,1955-04-30
11421,d004,Production,Engineer,9999-01-01,1953-11-07
11423,d009,Customer Service,Staff,9999-01-01,1954-09-16
11425,d005,Development,Senior Engineer,9999-01-01,1955-11-20
11441,d007,Sales,Senior Staff,9999-01-01,1954-11-16
11446,d005,Development,Engineer,9999-01-01,1954-06-20
11449,d004,Production,Engineer,9999-01-01,1955-03-30
11451,d004,Production,Senior Engineer,9999-01-01,1955-05-05
11452,d009,Customer Service,Senior Staff,9999-01-01,1953-01-16
11459,d003,Human Resources,Senior Staff,9999-01-01,1953-10-14
11460,d004,Production,Engineer,9999-01-01,1955-11-19
11469,d004,Production,Engineer,9999-01-01,1952-12-01
11474,d004,Production,Engineer,9999-01-01,1953-04-17
11476,d001,Marketing,Staff,9999-01-01,1954-06-20
11479,d002,Finance,Staff,9999-01-01,1953-12-02
11503,d005,Development,Engineer,9999-01-01,1953-08-01
11506,d007,Sales,Staff,9999-01-01,1955-06-16
11509,d005,Development,Engineer,9999-01-01,1954-06-18
11513,d002,Finance,Senior Staff,9999-01-01,1954-07-16
11515,d007,Sales,Staff,9999-01-01,1955-03-03
11518,d003,Human Resources,Senior Staff,9999-01-01,1953-07-21
11519,d007,Sales,Senior Staff,9999-01-01,1954-11-26
11523,d005,Development,Assistant Engineer,9999-01-01,1953-01-25
11524,d005,Development,Senior Engineer,9999-01-01,1955-10-26
11527,d001,Marketing,Staff,9999-01-01,1952-02-06
11528,d004,Production,Technique Leader,9999-01-01,1955-04-26
11531,d004,Production,Technique Leader,9999-01-01,1952-09-08
11533,d005,Development,Technique Leader,9999-01-01,1953-10-30
11537,d007,Sales,Senior Staff,9999-01-01,1955-06-29
11540,d004,Production,Engineer,9999-01-01,1954-01-26
11554,d001,Marketing,Staff,9999-01-01,1955-05-28
11555,d003,Human Resources,Senior Staff,9999-01-01,1955-08-05
11567,d007,Sales,Senior Staff,9999-01-01,1954-07-06
11568,d005,Development,Engineer,9999-01-01,1955-12-01
11573,d005,Development,Engineer,9999-01-01,1952-12-18
11575,d005,Development,Assistant Engineer,9999-01-01,1955-02-22
11577,d006,Quality Management,Engineer,9999-01-01,1953-01-11
11581,d005,Development,Engineer,9999-01-01,1953-04-12
11587,d005,Development,Senior Engineer,9999-01-01,1954-07-04
11589,d005,Development,Engineer,9999-01-01,1955-01-10
11595,d001,Marketing,Senior Staff,9999-01-01,1953-02-26
11596,d002,Finance,Staff,9999-01-01,1952-12-22
11602,d001,Marketing,Senior Staff,9999-01-01,1953-08-09
11603,d002,Finance,Senior Staff,9999-01-01,1954-12-07
11606,d009,Customer Service,Senior Staff,9999-01-01,1952-11-05
11607,d004,Production,Engineer,9999-01-01,1953-12-03
11615,d007,Sales,Senior Staff,9999-01-01,1955-03-05
11616,d004,Production,Assistant Engineer,9999-01-01,1954-07-12
11624,d004,Production,Engineer,9999-01-01,1955-05-16
11628,d008,Research,Engineer,9999-01-01,1952-02-14
11640,d005,Development,Senior Engineer,9999-01-01,1953-10-06
11641,d005,Development,Senior Engineer,9999-01-01,1955-10-13
11644,d004,Production,Assistant Engineer,9999-01-01,1952-04-08
11646,d005,Development,Engineer,9999-01-01,1953-06-22
11647,d005,Development,Engineer,9999-01-01,1953-10-13
11649,d008,Research,Technique Leader,9999-01-01,1954-10-07
11660,d007,Sales,Senior Staff,9999-01-01,1955-07-19
11664,d007,Sales,Senior Staff,9999-01-01,1955-08-27
11667,d001,Marketing,Senior Staff,9999-01-01,1955-05-15
11673,d004,Production,Technique Leader,9999-01-01,1954-12-20
11676,d004,Production,Engineer,9999-01-01,1952-04-12
11681,d004,Production,Engineer,9999-01-01,1952-05-15
11684,d001,Marketing,Senior Staff,9999-01-01,1953-03-07
11690,d003,Human Resources,Staff,9999-01-01,1953-11-10
11693,d005,Development,Senior Engineer,9999-01-01,1952-02-15
11696,d007,Sales,Senior Staff,9999-01-01,1954-10-26
11713,d006,Quality Management,Engineer,9999-01-01,1952-02-27
11732,d009,Customer Service,Senior Engineer,9999-01-01,1955-06-14
11733,d005,Development,Engineer,9999-01-01,1954-05-25
11735,d009,Customer Service,Senior Staff,9999-01-01,1955-02-19
11736,d004,Production,Senior Engineer,9999-01-01,1953-08-21
11737,d006,Quality Management,Assistant Engineer,9999-01-01,1952-07-17
11746,d007,Sales,Senior Staff,9999-01-01,1952-05-22
11748,d005,Development,Engineer,9999-01-01,1953-03-07
11751,d008,Research,Senior Staff,9999-01-01,1953-02-02
11756,d005,Development,Engineer,9999-01-01,1955-02-24
11763,d005,Development,Engineer,9999-01-01,1953-08-19
11764,d004,Production,Engineer,9999-01-01,1953-04-22
11765,d003,Human Resources,Senior Staff,9999-01-01,1955-08-17
11769,d005,Development,Senior Staff,9999-01-01,1953-07-17
11770,d005,Development,Engineer,9999-01-01,1955-08-26
11772,d005,Development,Engineer,9999-01-01,1954-06-19
11774,d004,Production,Engineer,9999-01-01,1954-07-11
11778,d004,Production,Engineer,9999-01-01,1953-04-23
11779,d008,Research,Staff,9999-01-01,1952-06-07
11791,d005,Development,Senior Engineer,9999-01-01,1955-11-07
11797,d001,Marketing,Senior Staff,9999-01-01,1954-08-12
11801,d007,Sales,Senior Staff,9999-01-01,1953-11-22
11807,d009,Customer Service,Technique Leader,9999-01-01,1955-12-25
11810,d005,Development,Senior Engineer,9999-01-01,1952-12-08
11811,d007,Sales,Senior Staff,9999-01-01,1953-07-05
11817,d007,Sales,Senior Staff,9999-01-01,1955-05-25
11822,d009,Customer Service,Staff,9999-01-01,1954-08-30
11823,d008,Research,Senior Engineer,9999-01-01,1954-09-25
11829,d004,Production,Assistant Engineer,9999-01-01,1952-08-01
11832,d005,Development,Engineer,9999-01-01,1952-05-18
11836,d008,Research,Senior Staff,9999-01-01,1952-09-14
11841,d009,Customer Service,Staff,9999-01-01,1955-04-21
11842,d008,Research,Senior Staff,9999-01-01,1954-03-31
11844,d005,Development,Engineer,9999-01-01,1953-10-30
11846,d004,Production,Engineer,9999-01-01,1954-04-24
11853,d001,Marketing,Senior Staff,9999-01-01,1952-06-19
11857,d007,Sales,Senior Staff,9999-01-01,1955-12-03
11862,d006,Quality Management,Engineer,9999-01-01,1954-01-25
11864,d009,Customer Service,Staff,9999-01-01,1952-06-14
11868,d006,Quality Management,Engineer,9999-01-01,1954-03-02
11869,d004,Production,Engineer,9999-01-01,1955-09-14
11871,d005,Development,Engineer,9999-01-01,1953-05-02
11872,d001,Marketing,Senior Staff,9999-01-01,1953-01-17
11876,d005,Development,Engineer,9999-01-01,1954-09-17
11881,d007,Sales,Senior Staff,9999-01-01,1952-08-06
11888,d001,Marketing,Senior Staff,9999-01-01,1952-04-05
11894,d005,Development,Senior Engineer,9999-01-01,1954-12-23
11896,d004,Production,Technique Leader,9999-01-01,1953-06-14
11897,d007,Sales,Senior Staff,9999-01-01,1952-11-23
11906,d005,Development,Engineer,9999-01-01,1955-04-26
11911,d005,Development,Engineer,9999-01-01,1952-07-08
11915,d004,Production,Engineer,9999-01-01,1954-08-16
11917,d004,Production,Engineer,9999-01-01,1955-03-26
11926,d004,Production,Engineer,9999-01-01,1955-04-06
11931,d008,Research,Senior Staff,9999-01-01,1952-10-30
11933,d005,Development,Engineer,9999-01-01,1953-08-15
11938,d004,Production,Staff,9999-01-01,1954-01-14
